round,1,2,3,4,5,6
1174,8,11,14,17,36,39
1173,1,5,18,20,30,35
1172,7,9,24,40,42,44
1171,3,6,7,11,12,17
1170,3,13,28,34,38,42
1169,5,12,24,26,39,42
1168,9,21,24,30,33,37
1167,8,23,31,35,39,40
1166,14,23,25,27,29,42
1165,6,7,27,29,38,45
1164,17,18,23,25,38,39
1163,2,13,15,16,33,43
1162,20,21,22,25,28,29
1161,2,12,20,24,34,42
1160,7,13,18,36,39,45
1159,3,9,27,28,38,39
1158,21,25,27,32,37,38
1157,5,7,12,20,25,26
1156,30,31,34,39,41,45
1155,10,16,19,27,37,38
1154,4,8,22,26,32,38
1153,1,9,10,13,35,44
1152,30,31,32,35,36,37
1151,2,3,9,15,27,29
1150,8,9,18,35,39,45
1149,8,15,19,21,32,36
1148,3,6,13,15,16,22
1147,7,11,24,26,27,37
1146,6,11,17,19,40,43
1145,2,11,31,33,37,44
1144,3,4,12,15,26,34
1143,10,16,17,27,28,36
1142,2,8,28,30,37,41
1141,7,11,12,21,26,35
1140,7,10,22,29,31,38
1139,5,12,15,30,37,40
1138,14,16,19,20,29,34
1137,4,9,12,15,33,45
1136,21,33,35,38,42,44
1135,1,6,13,19,21,33
1134,3,7,9,13,19,24
1133,13,14,20,28,29,34
1132,6,7,19,28,34,41
1131,1,2,6,14,27,38
1130,15,19,21,25,27,28
1129,5,10,11,17,28,34
1128,1,5,8,16,28,33
1127,10,15,24,30,31,37
1126,4,5,9,11,37,40
1125,6,14,25,33,40,44
1124,3,8,17,30,33,34
1123,13,19,21,24,34,35
1122,3,6,21,30,34,35
1121,6,24,31,32,38,44
1120,2,19,26,31,38,41
1119,1,9,12,13,20,45
1118,11,13,14,15,16,45
1117,3,4,9,30,33,36
1116,15,16,17,25,30,31
1115,7,12,23,32,34,36
1114,10,16,19,32,33,38
1113,11,13,20,21,32,44
1112,16,20,26,36,42,44
1111,3,13,30,33,43,45
1110,3,7,11,20,22,41
1109,10,12,13,19,33,40
1108,7,19,26,37,39,44
1107,6,14,30,31,40,41
1106,1,3,4,29,42,45
1105,6,16,34,37,39,40
1104,1,7,21,30,35,38
1103,10,12,29,31,40,44
1102,13,14,22,26,37,38
1101,6,7,13,28,36,42
1100,17,26,29,30,31,43
1099,3,20,28,38,40,43
1098,12,16,21,24,41,43
1097,14,33,34,35,37,40
1096,1,12,16,19,23,43
1095,8,14,28,29,34,40
1094,6,7,15,22,26,40
1093,10,17,22,30,35,43
1092,7,18,19,26,33,45
1091,6,20,23,24,28,30
1090,12,19,21,29,40,45
1089,4,18,31,37,42,43
1088,11,21,22,30,39,44
1087,13,14,18,21,34,44
1086,11,16,25,27,35,36
1085,4,7,17,18,38,44
1084,8,12,13,29,33,42
1083,3,7,14,15,22,38
1082,21,26,27,32,34,42
1081,1,9,16,23,24,38
1080,13,16,23,31,36,44
1079,4,8,18,24,37,45
1078,6,10,11,14,36,38
1077,4,8,17,30,40,43
1076,3,7,9,33,36,37
1075,1,23,24,35,44,45
1074,1,6,20,27,28,41
1073,6,18,28,30,32,38
1072,16,18,20,23,32,43
1071,1,2,11,21,30,35
1070,3,6,14,22,30,41
1069,1,10,18,22,28,31
1068,4,7,19,26,33,35
1067,7,10,19,23,28,33
1066,6,11,16,19,21,32
1065,3,18,19,23,32,45
1064,3,6,9,18,22,35
1063,3,6,22,23,24,38
1062,20,31,32,40,41,45
1061,4,24,27,35,37,45
1060,3,10,24,33,38,45
1059,7,10,22,25,34,40
1058,11,23,25,30,32,40
1057,8,13,19,27,40,45
1056,13,20,24,32,36,45
1055,4,7,12,14,22,33
1054,14,19,27,28,30,45
1053,22,26,29,30,34,45
1052,5,17,26,27,35,38
1051,21,26,30,32,33,35
1050,6,12,31,35,38,43
1049,3,5,13,20,21,37
1048,6,12,17,21,32,39
1047,2,20,33,40,42,44
1046,7,16,25,29,35,36
1045,6,14,15,19,21,41
1044,12,17,20,26,28,36
1043,3,5,12,22,26,31
1042,5,14,15,23,34,43
1041,6,7,9,11,17,18
1040,8,16,26,29,31,36
1039,2,3,6,19,36,39
1038,7,16,24,27,37,44
1037,2,14,15,22,27,33
1036,2,5,22,32,34,45
1035,9,14,34,35,41,42
1034,26,31,32,33,38,40
1033,3,11,15,20,35,44
1032,1,6,12,19,36,42
1031,6,7,22,32,35,36
1030,2,5,11,17,24,29
1029,12,30,32,37,39,41
1028,5,7,12,13,18,35
1027,14,16,27,35,39,45
1026,5,12,13,31,32,41
1025,8,9,20,25,29,33
1024,9,18,20,22,38,44
1023,10,14,16,18,29,35
1022,5,6,11,29,42,45
1021,12,15,17,24,29,45
1020,12,27,29,38,41,45
1019,1,4,13,17,34,39
1018,3,19,21,25,37,45
1017,12,18,22,23,30,34
1016,15,26,28,34,41,42
1015,14,23,31,33,37,40
1014,3,11,14,18,26,27
1013,21,22,26,34,36,41
1012,5,11,18,20,35,45
1011,1,9,12,26,35,38
1010,9,12,15,25,34,36
1009,15,23,29,34,40,44
1008,9,11,30,31,41,44
1007,8,11,16,19,21,25
1006,8,11,15,16,17,37
1005,8,13,18,24,27,29
1004,7,15,30,37,39,44
1003,1,4,29,39,43,45
1002,17,25,33,35,38,45
1001,6,10,12,14,20,42
1000,2,8,19,22,32,42
999,1,3,9,14,18,28
998,13,17,18,20,42,45
997,4,7,14,16,24,44
996,6,11,15,24,32,39
995,1,4,13,29,38,39
994,1,3,8,24,27,35
993,6,14,16,18,24,42
992,12,20,26,33,44,45
991,13,18,25,31,33,44
990,2,4,25,26,36,37
989,17,18,21,27,29,33
988,2,13,20,30,31,41
987,2,4,15,23,29,38
986,7,10,16,28,41,42
985,17,21,23,30,34,44
984,3,10,23,35,36,37
983,13,23,26,31,35,43
982,5,7,13,20,21,44
981,27,36,37,41,43,45
980,3,13,16,23,24,35
979,7,11,16,21,27,33
978,1,7,15,32,34,42
977,2,9,10,14,22,44
